origin,destination,km
CMN,MAD,833.0
CMN,ALG,1032.0
CMN,CAI,3679.0
CMN,TLV,3944.0
CMN,AMM,4055.0
CMN,BEY,3965.0
CMN,NKC,1907.0
CMN,TUN,1656.0
CMN,MRS,1561.0
CMN,ATH,2861.0
CMN,FCO,1965.0
CMN,VLC,918.0
CMN,LIS,585.0
CMN,IST,3319.0
CMN,BKK,10766.0
CMN,BOM,11266.0
CMN,DXB,6079.0
CMN,JED,3013.0
CMN,PUS,11144.0
CMN,HKG,14245.0
CMN,MLA,2074.19
CMN,TIA,2560.49
CMN,MJI,2127.49
CMN,MCT,6373.0
CMN,LGG,2222.0
CMN,AMS,2333.0
CMN,FRA,2133.0
CMN,LHR,2092.41
CMN,TDG,2550.23
CMN,LUX,2133.91
TUN,BCN,858.0
TUN,MAD,1270.0
TUN,ALG,636.0
TUN,CAI,2093.0
TUN,TLV,2315.0
TUN,AMM,2423.0
TUN,BEY,2318.0
TUN,NKC,3291.0
TUN,CMN,1656.0
TUN,MRS,827.0
TUN,ATH,1206.0
TUN,FCO,577.0
TUN,VLC,967.0
TUN,LIS,1710.0
TUN,IST,1691.0
TUN,BKK,9119.0
TUN,BOM,6353.0
TUN,DXB,4450.0
TUN,JED,2086.0
TUN,PUS,9827.0
TUN,HKG,9702.0
TUN,MLA,384.36
TUN,TIA,1093.57
TUN,MJI,533.19
TUN,MCT,4355.0
TUN,LGG,1493.0
TUN,AMS,1611.0
TUN,FRA,1427.0
TUN,LHR,1830.96
TUN,TDG,986.33
TUN,LUX,1455.55
MRS,BCN,340.0
MRS,MAD,819.0
MRS,ALG,754.0
MRS,CAI,2722.0
MRS,TLV,2856.0
MRS,AMM,2955.0
MRS,BEY,2805.0
MRS,NKC,3439.0
MRS,CMN,1561.0
MRS,TUN,827.0
MRS,ATH,1655.0
MRS,FCO,588.0
MRS,VLC,641.0
MRS,LIS,1320.0
MRS,IST,1958.0
MRS,BKK,9365.0
MRS,BOM,7079.0
MRS,DXB,5241.0
MRS,JED,3688.0
MRS,PUS,9783.0
MRS,HKG,9990.0
MRS,MLA,1084.95
MRS,TIA,1243.29
MRS,MJI,1228.78
MRS,MCT,5348.0
MRS,LGG,782.0
MRS,AMS,984.0
MRS,FRA,750.0
MRS,LHR,989.4
MRS,TDG,1150.8
MRS,LUX,691.53
ATH,BCN,1882.0
ATH,MAD,2374.0
ATH,ALG,1833.0
ATH,CAI,1119.0
ATH,TLV,1202.0
ATH,AMM,1300.0
ATH,BEY,1155.0
ATH,NKC,4432.0
ATH,CMN,2861.0
ATH,TUN,1206.0
ATH,MRS,1655.0
ATH,FCO,1068.0
ATH,VLC,1923.0
ATH,LIS,2857.0
ATH,IST,562.0
ATH,BKK,7917.0
ATH,BOM,5359.0
ATH,DXB,3467.0
ATH,JED,2419.0
ATH,PUS,8883.0
ATH,HKG,8638.0
ATH,MLA,873.47
ATH,TIA,524.61
ATH,MJI,1056.34
ATH,MCT,4032.0
ATH,LGG,2031.0
ATH,AMS,2071.0
ATH,FRA,1764.0
ATH,LHR,2429.83
ATH,TDG,633.08
ATH,LUX,1921.24
FCO,BCN,840.0
FCO,MAD,1345.0
FCO,ALG,968.0
FCO,CAI,2144.0
FCO,TLV,2269.0
FCO,AMM,2368.0
FCO,BEY,2218.0
FCO,NKC,3746.0
FCO,CMN,1965.0
FCO,TUN,577.0
FCO,MRS,588.0
FCO,ATH,1068.0
FCO,VLC,1051.0
FCO,LIS,1844.0
FCO,IST,1399.0
FCO,BKK,8846.0
FCO,BOM,5958.0
FCO,DXB,4048.0
FCO,JED,2964.0
FCO,PUS,9611.0
FCO,HKG,9389.0
FCO,MLA,688.93
FCO,TIA,619.7
FCO,MJI,1042.51
FCO,MCT,4616.0
FCO,LGG,1131.0
FCO,AMS,1324.0
FCO,FRA,1032.0
FCO,LHR,1445.09
FCO,TDG,583.45
FCO,LUX,987.56
VLC,BCN,350.0
VLC,MAD,361.0
VLC,ALG,425.0
VLC,CAI,3126.0
VLC,TLV,3253.0
VLC,AMM,4962.0
VLC,BEY,4719.0
VLC,NKC,2217.0
VLC,CMN,918.0
VLC,TUN,967.0
VLC,MRS,641.0
VLC,ATH,1923.0
VLC,FCO,1051.0
VLC,LIS,760.0
