origin,destination,regime
IST,BOM,WCO
IST,DXB,WCO
IST,JED,WCO
IST,PUS,WCO
IST,HKG,WCO
IST,MLA,WCO
IST,TIA,WCO
IST,AMS,WCO
LIS,ALG,WCO
LIS,AMM,WCO
LIS,ATH,SCHENGEN
LIS,BCN,SCHENGEN
LIS,BEY,WCO
LIS,CAI,WCO
LIS,CMN,WCO
LIS,FCO,SCHENGEN
LIS,IST,WCO
LIS,MAD,SCHENGEN
LIS,MLA,SCHENGEN
LIS,MRS,SCHENGEN
LIS,NKC,WCO
LIS,TLV,WCO
LIS,TUN,WCO
LIS,TIP,WCO
LIS,VLC,WCO
LIS,BKK,WCO
LIS,BOM,WCO
LIS,DXB,WCO
LIS,JED,WCO
LIS,PUS,WCO
LIS,HKG,WCO
LIS,MLA,SCHENGEN
LIS,TIA,SCHENGEN
LIS,AMS,SCHENGEN
MAD,ALG,WCO
MAD,AMM,WCO
MAD,ATH,SCHENGEN
MAD,BCN,SCHENGEN
MAD,BEY,WCO
MAD,CAI,WCO
MAD,CMN,WCO
MAD,FCO,SCHENGEN
MAD,IST,WCO
MAD,LIS,SCHENGEN
MAD,MLA,SCHENGEN
MAD,MRS,SCHENGEN
MAD,NKC,WCO
MAD,TLV,WCO
MAD,TUN,WCO
MAD,TIP,WCO
MAD,VLC,WCO
MAD,BKK,WCO
MAD,BOM,WCO
MAD,DXB,WCO
MAD,JED,WCO
MAD,PUS,WCO
MAD,HKG,WCO
MAD,MLA,SCHENGEN
MAD,TIA,SCHENGEN
MAD,AMS,SCHENGEN
MLA,ALG,WCO
MLA,AMM,WCO
MLA,ATH,SCHENGEN
MLA,BCN,SCHENGEN
MLA,BEY,WCO
MLA,CAI,WCO
MLA,CMN,WCO
MLA,FCO,SCHENGEN
MLA,IST,WCO
MLA,LIS,SCHENGEN
MLA,MAD,SCHENGEN
MLA,MRS,SCHENGEN
MLA,NKC,WCO
MLA,TLV,WCO
MLA,TUN,WCO
MLA,TIP,WCO
MLA,VLC,WCO
MLA,BKK,WCO
MLA,BOM,WCO
MLA,DXB,WCO
MLA,JED,WCO
MLA,PUS,WCO
MLA,HKG,WCO
MLA,TIA,SCHENGEN
MLA,AMS,SCHENGEN
MRS,ALG,WCO
MRS,AMM,WCO
MRS,ATH,SCHENGEN
MRS,BCN,SCHENGEN
MRS,BEY,WCO
MRS,CAI,WCO
MRS,CMN,WCO
MRS,FCO,SCHENGEN
MRS,IST,WCO
MRS,LIS,SCHENGEN
MRS,MAD,SCHENGEN
MRS,MLA,SCHENGEN
MRS,NKC,WCO
MRS,TLV,WCO
MRS,TUN,WCO
MRS,TIP,WCO
MRS,VLC,WCO
MRS,BKK,WCO
MRS,BOM,WCO
MRS,DXB,WCO
MRS,JED,WCO
MRS,PUS,WCO
MRS,HKG,WCO
MRS,MLA,SCHENGEN
MRS,TIA,SCHENGEN
MRS,AMS,SCHENGEN
NKC,ALG,WCO
NKC,AMM,WCO
NKC,ATH,WCO
NKC,BCN,WCO
NKC,BEY,WCO
NKC,CAI,AFCFTA
NKC,CMN,WCO
NKC,FCO,WCO
NKC,IST,WCO
NKC,LIS,WCO
NKC,MAD,WCO
NKC,MLA,WCO
NKC,MRS,WCO
NKC,TLV,WCO
NKC,TUN,AFCFTA
NKC,TIP,WCO
NKC,VLC,WCO
NKC,BKK,WCO
NKC,BOM,WCO
NKC,DXB,WCO
NKC,JED,WCO
NKC,PUS,WCO
NKC,HKG,WCO
NKC,MLA,WCO
NKC,TIA,WCO
NKC,AMS,WCO
TLV,ALG,WCO
TLV,AMM,WCO
TLV,ATH,WCO
TLV,BCN,WCO
TLV,BEY,WCO
TLV,CAI,WCO
TLV,CMN,WCO
TLV,FCO,WCO
TLV,IST,WCO
TLV,LIS,WCO
TLV,MAD,WCO
TLV,MLA,WCO
TLV,MRS,WCO
TLV,NKC,WCO
TLV,TUN,WCO
TLV,TIP,WCO
TLV,VLC,WCO
TLV,BKK,WCO
TLV,BOM,WCO
TLV,DXB,WCO
TLV,JED,WCO
TLV,PUS,WCO
TLV,HKG,WCO
TLV,MLA,WCO
TLV,TIA,WCO
TLV,AMS,WCO
TUN,ALG,WCO
TUN,AMM,WCO
TUN,ATH,WCO
TUN,BCN,WCO
